set_no,card_no,row_no,c1,c2,c3,c4,c5,c6,c7,c8,c9
78,3,3,,18,,39,,59,65,,90
78,4,1,2,,21,,41,,63,,80
78,4,2,,10,,38,,52,,74,82
78,4,3,8,,24,,45,57,,76,
78,5,1,3,,26,31,,50,,78,
78,5,2,,16,,34,,55,62,,84
78,5,3,9,,28,,44,,67,,89
78,6,1,1,11,,30,,56,,70,
78,6,2,6,,25,,46,58,,73,
78,6,3,,14,,32,48,,68,,85
79,1,1,2,,21,30,,55,,70,
79,1,2,7,,24,37,,,61,,84
79,1,3,,15,26,,47,,64,77,
79,2,1,1,13,,,42,,60,,82
79,2,2,,19,,34,,57,,72,83
79,2,3,4,,25,,49,,67,,89
79,3,1,3,,28,,41,52,62,,
79,3,2,6,10,,,43,54,,76,
79,3,3,,16,,31,,56,,78,86
79,4,1,,12,,32,44,,,71,80
79,4,2,5,,22,36,,,63,,85
79,4,3,,17,29,,,50,,75,87
79,5,1,8,,20,,40,51,,74,
79,5,2,,11,,33,46,,65,,88
79,5,3,,18,,39,,58,69,,90
79,6,1,,,23,35,,53,66,73,
79,6,2,,14,27,,45,59,,79,
79,6,3,9,,,38,48,,68,,81
80,1,1,2,12,,,44,54,,,83
80,1,2,7,,26,,49,56,,78,
80,1,3,,18,,31,,58,66,,87
80,2,1,,10,,32,,,63,72,86
80,2,2,5,,22,39,,,67,74,
80,2,3,,,25,,45,57,,79,90
80,3,1,,,21,,40,,60,76,82
80,3,2,,13,,35,42,,61,,89
80,3,3,8,,23,,48,53,64,,
80,4,1,1,,20,,,50,65,,81
80,4,2,3,11,29,,43,,,,84
80,4,3,4,15,,36,,59,,70,
80,5,1,9,14,,30,,,,71,80
80,5,2,,17,27,34,,52,,,85
80,5,3,,19,,38,41,,69,77,
80,6,1,,,24,,46,51,62,,88
80,6,2,6,,28,33,,,68,73,
80,6,3,,16,,37,47,55,,75,
81,1,1,1,12,23,,,53,,,89
81,1,2,4,14,27,,,,61,77,
81,1,3,7,15,,35,47,,68,,
81,2,1,9,,20,,44,50,,,80
81,2,2,,13,,32,46,55,,75,
81,2,3,,19,,34,48,,60,,82
81,3,1,,10,,39,,57,,70,83
81,3,2,,18,21,,40,,,72,88
81,3,3,6,,24,,45,,62,78,
81,4,1,,,25,31,,52,63,,86
81,4,2,2,,28,36,,59,65,,
81,4,3,,17,,37,42,,69,76,
81,5,1,5,,26,,,51,,71,81
81,5,2,,,29,33,,56,,79,84
81,5,3,,16,,38,41,,66,,90
81,6,1,3,,,30,,54,64,73,
81,6,2,,11,,,43,58,,74,85
81,6,3,8,,22,,49,,67,,87
82,1,1,2,10,22,,,52,,,84
82,1,2,5,13,28,,,,63,72,
82,1,3,9,17,,38,48,,66,,
82,2,1,4,,25,,41,56,,,81
82,2,2,,11,,30,43,58,,74,
82,2,3,,18,,33,47,,65,,85
82,3,1,,16,,36,,54,,73,86
82,3,2,,19,20,,42,,,75,90
82,3,3,1,,26,,49,,69,79,
82,4,1,,,21,32,,53,60,,89
82,4,2,3,,29,35,,57,61,,
82,4,3,,14,,39,44,,67,77,
82,5,1,8,,23,,,50,,70,82
82,5,2,,,24,31,,59,,76,87
82,5,3,,12,,34,46,,64,,88
82,6,1,6,,,37,,51,62,71,
82,6,2,,15,,,40,55,,78,80
82,6,3,7,,27,,45,,68,,83
83,1,1,1,10,25,,40,,,,87
83,1,2,3,,29,,49,,63,73,
83,1,3,9,18,,36,,57,,77,
83,2,1,,,27,31,,50,65,,84
83,2,2,4,,,34,41,51,,,88
83,2,3,,17,,39,44,56,,75,
83,3,1,7,,28,30,,,61,71,
83,3,2,,11,,35,,55,,78,83
83,3,3,,19,,38,43,,68,,86
83,4,1,2,,21,,,59,,70,81
83,4,2,,13,23,,42,,66,,85
83,4,3,8,,26,33,,,,79,90
83,5,1,,12,,37,,52,60,,82
83,5,2,,16,20,,46,,62,72,
83,5,3,5,,22,,48,53,67,,
83,6,1,,14,,32,,54,,74,80
83,6,2,6,,24,,45,,64,76,
83,6,3,,15,,,47,58,69,,89
84,1,1,2,12,20,,42,,,,86
84,1,2,5,,24,,47,,67,70,
84,1,3,6,19,,34,,54,,74,
84,2,1,,,23,30,,53,69,,85
84,2,2,3,,,32,40,55,,,89
84,2,3,,15,,37,48,59,,79,
84,3,1,9,,26,31,,,60,72,
84,3,2,,14,,33,,52,,76,80
84,3,3,,16,,36,46,,64,,81
84,4,1,1,,22,,,56,,75,82
84,4,2,,18,25,,45,,62,,83
84,4,3,4,,28,38,,,,77,88
84,5,1,,11,,35,,50,61,,84
84,5,2,,13,21,,41,,63,71,
84,5,3,7,,27,,49,58,66,,
84,6,1,,10,,39,,51,,73,87
84,6,2,8,,29,,43,,65,78,
84,6,3,,17,,,44,57,68,,90
85,1,1,1,10,26,,45,,,,81
85,1,2,,13,29,,48,,60,72,
85,1,3,5,14,,33,,59,,76,
85,2,1,,15,,31,,55,61,,84
85,2,2,3,,22,,40,,67,,88
85,2,3,7,,27,,46,57,,73,
85,3,1,6,,21,32,,,63,,87
85,3,2,,11,,36,43,,65,71,
85,3,3,,,23,,44,50,,78,90
85,4,1,,12,25,,47,,68,,82
85,4,2,2,17,,35,,52,69,,
85,4,3,4,18,28,,,58,,75,
85,5,1,,,20,30,,53,,74,83
85,5,2,9,,,34,42,,62,79,
85,5,3,,16,,39,49,,66,,89
85,6,1,,,24,,41,51,,70,80
85,6,2,,19,,37,,54,,77,85
85,6,3,8,,,38,,56,64,,86
86,1,1,2,11,20,,41,,,,85
86,1,2,,15,25,,47,,66,70,
86,1,3,8,17,,38,,52,,79,
86,2,1,,18,,34,,56,62,,82
86,2,2,1,,24,,42,,69,,89
86,2,3,9,,29,,48,58,,77,
86,3,1,5,,22,30,,,64,,80
86,3,2,,12,,37,40,,68,74,
86,3,3,,,28,,49,54,,75,83
86,4,1,,10,21,,46,,60,,90
86,4,2,3,16,,39,,53,65,,
86,4,3,6,19,27,,,57,,78,
86,5,1,,,23,31,,59,,71,84
86,5,2,4,,,33,43,,61,76,
86,5,3,,14,,36,45,,63,,86
86,6,1,,,26,,44,50,,72,81
86,6,2,,13,,32,,51,,73,87
86,6,3,7,,,35,,55,67,,88
87,1,1,,10,25,,43,50,65,,
87,1,2,7,,26,,47,55,,77,
87,1,3,,15,,36,,56,69,,87
87,2,1,,11,,,44,52,,72,80
87,2,2,,18,,35,,59,60,,84
87,2,3,5,,28,,,,66,76,89
87,3,1,3,,,32,40,,62,,82
87,3,2,9,,22,,49,53,,74,
87,3,3,,13,,39,,58,68,,88
87,4,1,,17,,30,42,,63,75,
87,4,2,1,,20,34,,51,,,90
87,4,3,2,,24,,46,,64,79,
87,5,1,4,12,,,45,,,70,81
87,5,2,,16,21,31,,,67,,86
87,5,3,,19,27,37,,54,,78,
87,6,1,6,,23,33,,57,,71,
87,6,2,,14,,38,41,,,73,83
87,6,3,8,,29,,48,,61,,85
88,1,1,,12,21,,42,52,63,,
88,1,2,4,,29,,48,53,,73,
88,1,3,,14,,38,,54,67,,85
88,2,1,,16,,,46,57,,74,81
88,2,2,,17,,30,,58,61,,83
88,2,3,8,,24,,,,64,75,90
88,3,1,2,,,33,41,,60,,80
88,3,2,6,,26,,45,51,,79,
88,3,3,,19,,37,,59,69,,87
88,4,1,,13,,31,40,,62,70,
88,4,2,3,,22,35,,55,,,88
88,4,3,7,,27,,47,,66,72,
88,5,1,5,10,,,43,,,71,82
88,5,2,,11,23,36,,,68,,89
88,5,3,,15,25,39,,56,,77,
88,6,1,1,,20,32,,50,,76,
88,6,2,,18,,34,44,,,78,84
88,6,3,9,,28,,49,,65,,86
89,1,1,,10,23,,42,,63,,82
89,1,2,,15,,33,,50,,72,83
89,1,3,6,,24,,48,59,,,90
89,2,1,,14,,34,40,51,,,80
89,2,2,1,,22,,44,,64,,88
89,2,3,,16,,36,,56,,79,89
89,3,1,5,,25,,45,,60,,87
89,3,2,9,13,,38,,55,,70,
89,3,3,,17,28,,49,,65,78,
89,4,1,,,20,32,43,,66,,81
89,4,2,3,,26,,,53,,71,85
89,4,3,,11,,35,47,,68,76,
89,5,1,,12,,30,41,54,,73,
89,5,2,2,19,,37,,,62,75,
89,5,3,7,,21,,,57,69,,84
89,6,1,4,,27,,46,,61,,86
89,6,2,,18,,31,,52,67,74,
89,6,3,8,,29,39,,58,,77,
90,1,1,3,,23,,41,55,,75,
90,1,2,,16,28,,44,,64,78,
90,1,3,,18,,35,48,,66,,83
90,2,1,,10,,33,,50,65,,85
90,2,2,,14,,36,,54,,70,87
90,2,3,6,,26,,45,,,71,89
90,3,1,7,,27,,,53,60,,90
90,3,2,,13,,34,,56,61,77,
90,3,3,9,,29,,46,,69,79,
90,4,1,,17,,30,,51,63,,82
90,4,2,1,,21,39,,59,,72,
90,4,3,8,,22,,43,,67,76,
90,5,1,,11,,31,,52,,73,84
90,5,2,2,,20,,42,,68,,86
90,5,3,4,,24,38,,58,,,88
90,6,1,,12,,32,40,,62,,80
90,6,2,,15,,37,47,57,,,81
90,6,3,5,19,25,,49,,,74,
91,1,1,,10,24,,45,,62,77,
91,1,2,,12,,33,47,,66,,85
91,1,3,4,19,,36,,50,,79,
91,2,1,,14,,32,,52,61,,80
91,2,2,2,,25,,40,,,74,82
91,2,3,8,,29,,42,,68,,90
91,3,1,6,,22,,41,,60,,81
91,3,2,,16,28,,49,55,,73,
91,3,3,,17,,35,,59,69,,87
91,4,1,,11,,34,,54,,70,84
91,4,2,,13,,38,,56,63,78,
91,4,3,3,,23,,46,57,67,,
91,5,1,,18,,31,,53,,71,83
91,5,2,1,,20,37,,58,,76,
91,5,3,7,,27,,44,,64,,88
91,6,1,5,,21,,43,,,72,86
91,6,2,,15,,30,48,,65,,89
91,6,3,9,,26,39,,51,,75,
92,1,1,3,,20,31,,50,66,,
92,1,2,8,,24,38,,51,,75,
92,1,3,,16,29,,45,,69,,81
92,2,1,4,,23,,41,,61,74,
92,2,2,,11,28,,46,,62,,85
92,2,3,,12,,32,,58,68,,89
92,3,1,,10,,33,,54,,72,87
92,3,2,6,,27,,47,,65,,88
92,3,3,9,18,,,49,57,,79,
92,4,1,,13,,34,40,52,,,86
92,4,2,5,,21,37,44,,,73,
92,4,3,7,,25,,48,,60,76,
92,5,1,,14,,30,,53,,70,83
92,5,2,,15,,35,,56,,71,90
92,5,3,2,,22,,43,,63,77,
92,6,1,,17,,36,,55,,78,80
92,6,2,,19,,39,,59,64,,82
92,6,3,1,,26,,42,,67,,84
93,1,1,1,,20,,43,,63,,81
93,1,2,,12,,32,49,,67,,89
93,1,3,7,,22,38,,53,,74,
93,2,1,,14,,33,44,,64,,80
93,2,2,,17,,35,,50,,72,88
93,2,3,3,,24,,48,58,,79,
93,3,1,,18,,37,,55,60,,85
93,3,2,5,,26,,45,,61,73,
93,3,3,9,,28,,,57,68,,90
93,4,1,2,,21,,41,,65,,82
93,4,2,,13,,31,42,,66,75,
93,4,3,8,,23,36,,54,,78,
93,5,1,,11,25,,40,,62,,83
93,5,2,,15,,30,,51,,70,86
93,5,3,4,19,,,47,59,,76,
93,6,1,,10,,34,,52,,71,84
93,6,2,6,,27,39,,56,,77,
93,6,3,,16,29,,46,,69,,87
94,1,1,7,,24,33,,,60,,83
94,1,2,,10,28,,46,,61,72,
94,1,3,8,14,29,,,51,,78,
94,2,1,3,,23,34,,53,,70,
94,2,2,9,,26,,43,,66,,81
94,2,3,,16,,37,47,58,,,90
94,3,1,,13,22,,41,,64,,86
94,3,2,,17,,30,,55,65,74,
94,3,3,6,,,36,48,59,,79,
94,4,1,,15,,32,,50,,71,84
94,4,2,1,,25,,44,,62,,88
94,4,3,,18,,38,,56,63,76,
94,5,1,,11,,31,,52,,73,80
94,5,2,2,,20,,42,,,77,85
94,5,3,5,,27,,49,,67,,89
94,6,1,,12,,35,,54,68,,82
94,6,2,,19,,39,40,,69,,87
94,6,3,4,,21,,45,57,,75,
95,1,1,,16,,32,,53,,71,82
95,1,2,4,,23,,40,,64,,86
95,1,3,5,,29,37,,57,,76,
95,2,1,7,,22,,41,,62,74,
95,2,2,8,,27,,45,,68,,80
95,2,3,,12,,30,,54,,79,89
95,3,1,,14,,35,,50,,73,84
95,3,2,2,,26,,44,,61,,88
95,3,3,,17,,38,,59,66,77,
95,4,1,3,,20,36,,52,,75,
95,4,2,,11,24,,46,55,63,,
95,4,3,,15,28,,47,56,,,81
95,5,1,,13,,31,42,,65,,83
95,5,2,6,18,,34,,58,,70,
95,5,3,9,,21,,49,,67,,90
95,6,1,,10,,33,43,,60,,85
95,6,2,1,,25,,48,,69,72,
95,6,3,,19,,39,,51,,78,87
96,1,1,1,,21,,,57,60,70,
96,1,2,4,,25,,43,,64,72,
96,1,3,,12,,37,,,68,76,81
96,2,1,3,11,,30,41,,,74,
96,2,2,,15,29,,,59,65,,84
96,2,3,5,,,35,45,,67,,89
96,3,1,,14,24,,42,51,,,86
96,3,2,9,16,,32,48,,62,,
96,3,3,,19,27,34,,56,,73,
96,4,1,2,,,31,,,66,71,82
96,4,2,8,,23,,46,50,,,85
96,4,3,,10,,39,,58,,79,88
96,5,1,7,,22,,40,54,,,83
96,5,2,,,28,33,47,,63,,90
96,5,3,,17,,38,49,55,,75,
96,6,1,,13,20,,,52,,77,80
96,6,2,,18,,36,,53,61,,87
96,6,3,6,,26,,44,,69,78,
97,1,1,,13,,32,,51,,71,80
97,1,2,5,,22,,43,58,,75,
97,1,3,,17,,38,48,,62,,90
97,2,1,6,,23,,40,52,,72,
97,2,2,,18,27,,44,,63,,81
97,2,3,8,19,,34,47,,,79,
97,3,1,,10,,35,,55,,77,82
97,3,2,,16,,37,,59,60,,86
97,3,3,3,,26,,46,,69,,89
97,4,1,4,,21,,42,,61,76,
97,4,2,7,,28,31,,,65,,83
97,4,3,,12,,36,,50,66,,88
97,5,1,1,,20,33,,53,,73,
97,5,2,9,,25,,41,57,,74,
97,5,3,,14,29,,49,,67,,84
97,6,1,,11,,30,,54,,70,85
97,6,2,2,,24,,45,,64,78,
97,6,3,,15,,39,,56,68,,87
98,1,1,6,,21,33,,54,,73,
98,1,2,,14,23,,40,56,,79,
98,1,3,7,,27,,43,,60,,83
98,2,1,,11,24,,44,,61,74,
98,2,2,,15,,30,,55,62,,81
98,2,3,5,,29,,47,,69,,87
98,3,1,,17,,34,,50,,70,85
98,3,2,4,,28,,48,,65,,89
98,3,3,,19,,39,,52,,78,90
98,4,1,,13,,32,,57,,72,80
98,4,2,,16,20,,41,,63,77,
98,4,3,2,,25,36,,59,68,,
98,5,1,1,,26,,42,51,,76,
98,5,2,9,,,35,45,,64,,82
98,5,3,,12,,38,49,,67,,86
98,6,1,,10,,31,,53,,71,84
98,6,2,3,18,,37,,58,,75,
98,6,3,8,,22,,46,,66,,88
99,1,1,,10,,32,,50,,75,86
99,1,2,3,,24,,44,,61,79,
99,1,3,,19,,34,,58,67,,89
99,2,1,,15,,30,,53,,73,87
99,2,2,7,,23,,42,,60,,88
99,2,3,,18,,38,49,,68,,90
99,3,1,,14,,35,,55,,71,80
99,3,2,5,,22,,40,57,,78,
99,3,3,,17,28,,46,,65,,83
99,4,1,,11,,31,43,,62,,81
99,4,2,2,,25,33,,,69,70,
99,4,3,8,,,39,,51,,77,84
99,5,1,1,,20,36,,52,,72,
99,5,2,6,,26,,41,59,,76,
99,5,3,,12,29,,48,,63,,82
99,6,1,,13,,37,,54,64,,85
99,6,2,4,,21,,45,56,,74,
99,6,3,9,16,27,,47,,66,,
100,1,1,,15,,31,,50,63,72,
100,1,2,5,,20,35,,57,,79,
100,1,3,9,,28,,43,,68,,81
100,2,1,3,,23,,46,56,,76,
100,2,2,,14,,30,47,,64,,84
100,2,3,,17,,36,49,,66,,89
100,3,1,,12,,37,,54,,70,85
100,3,2,7,,24,,45,,60,77,
100,3,3,,19,,39,,55,69,,87
100,4,1,,10,,34,,51,,71,82
100,4,2,2,,21,,42,,,74,83
100,4,3,,16,,38,48,,65,,90
100,5,1,1,,22,,41,,62,,80
100,5,2,4,13,27,,,52,,73,
100,5,3,8,,29,32,,59,,75,
100,6,1,,11,,33,,53,61,,86
100,6,2,6,,25,,40,58,,78,
100,6,3,,18,26,,44,,67,,88
101,1,1,,10,21,,,54,62,71,
101,1,2,,12,28,,41,,66,,82
101,1,3,5,18,,34,,59,,77,
101,2,1,2,,20,35,,,60,,84
101,2,2,8,,24,37,,56,,73,
101,2,3,,11,,39,42,,67,79,
101,3,1,,16,,31,44,,68,,80
101,3,2,,19,,38,,51,69,,86
101,3,3,4,,29,,49,,,75,89
101,4,1,,13,,33,,52,,70,83
101,4,2,1,,22,,40,58,,72,
101,4,3,9,,26,,46,,65,,85
101,5,1,3,,23,,43,50,,74,
101,5,2,7,,25,,47,,61,,87
101,5,3,,14,,32,48,55,64,,
101,6,1,,15,,30,,53,,76,81
101,6,2,,17,,36,,57,,78,88
101,6,3,6,,27,,45,,63,,90
102,1,1,,10,,31,40,,66,,82
102,1,2,7,,,37,42,55,,,88
102,1,3,,14,29,,49,,,77,90
102,2,1,,12,20,,41,,65,,87
102,2,2,,16,,32,43,51,,70,
102,2,3,5,,23,,48,,69,74,
102,3,1,4,,24,,47,,60,,81
102,3,2,,18,28,,,50,64,,85
102,3,3,,19,,33,,57,,79,86
102,4,1,,11,,30,44,,61,,83
102,4,2,,15,,34,,52,68,,89
102,4,3,6,,21,39,,56,,73,
102,5,1,1,,22,,45,,62,,80
102,5,2,2,13,,36,,53,,72,
102,5,3,9,,26,,,59,67,78,
102,6,1,,17,,35,,54,,71,84
102,6,2,3,,25,38,,58,,75,
102,6,3,8,,27,,46,,63,76,
103,1,1,4,,22,,43,,60,73,
103,1,2,,10,29,,48,,65,,83
103,1,3,,18,,39,,57,,78,84
103,2,1,3,,23,,40,,64,,87
103,2,2,7,,26,,47,,67,76,
103,2,3,9,11,,32,,51,,77,
103,3,1,,15,,30,,52,,70,88
103,3,2,6,,25,,42,,63,,90
103,3,3,,19,,34,46,,68,75,
103,4,1,,12,,33,44,,61,,80
103,4,2,1,,21,35,,55,,72,
103,4,3,,14,,37,,58,66,,85
103,5,1,2,,20,,41,53,,,81
103,5,2,,13,28,,49,56,,,86
103,5,3,,16,,38,,59,62,79,
103,6,1,,17,,31,,50,,71,82
103,6,2,5,,24,36,,54,,,89
103,6,3,8,,27,,45,,69,74,
104,1,1,1,,22,35,,,60,77,
104,1,2,7,,28,,44,,68,,83
104,1,3,,14,,39,,58,,79,89
104,2,1,,10,,30,,51,62,,82
104,2,2,2,18,,,41,55,,73,
104,2,3,6,,21,,47,,67,,88
104,3,1,,13,24,,42,,65,,80
104,3,2,,19,,31,,50,,74,87
104,3,3,5,,29,34,,52,,78,
104,4,1,3,,23,,43,54,,,84
104,4,2,9,,26,,48,,61,,85
104,4,3,,15,,37,,59,,72,90
104,5,1,,11,20,,45,,63,,86
104,5,2,,16,,33,49,53,,71,
104,5,3,4,,27,36,,57,,76,
104,6,1,8,,25,,40,,64,70,
104,6,2,,12,,32,46,,66,75,
104,6,3,,17,,38,,56,69,,81
105,1,1,1,,24,,42,,60,,81
105,1,2,6,,26,35,,,63,76,
105,1,3,,10,,38,48,56,,79,
105,2,1,3,,20,,44,,62,,84
105,2,2,7,,29,34,,53,,,86
105,2,3,,11,,37,,58,,70,90
105,3,1,,12,,32,,50,64,,87
105,3,2,2,,23,,47,,66,71,
105,3,3,,16,,33,,54,68,77,
105,4,1,4,,25,36,,51,,72,
105,4,2,9,14,,,43,55,,75,
105,4,3,,18,,39,49,,69,,82
105,5,1,,13,21,,41,,61,,80
105,5,2,,15,,30,,52,,73,83
105,5,3,5,,27,,45,57,,,85
105,6,1,8,,22,,40,,65,,88
105,6,2,,17,,31,,59,,74,89
105,6,3,,19,28,,46,,67,78,
106,1,1,1,,24,,41,,60,,83
106,1,2,6,,29,30,,51,,72,
106,1,3,,19,,37,,56,66,,87
106,2,1,,10,,31,42,,64,,84
106,2,2,,16,,36,,52,,70,88
106,2,3,3,,28,,49,59,,76,
106,3,1,,11,21,,45,,63,,85
106,3,2,,15,,34,,53,,75,89
106,3,3,8,,27,,48,,69,,90
106,4,1,4,,23,,43,,65,,82
106,4,2,,12,,33,,50,,71,86
106,4,3,,18,26,,47,58,,77,
106,5,1,2,,22,,40,,61,,81
106,5,2,7,13,,32,,55,,73,
106,5,3,9,,25,38,,,68,78,
106,6,1,,14,,35,,54,,74,80
106,6,2,5,,20,,44,,62,79,
106,6,3,,17,,39,46,57,67,,
107,1,1,,10,,35,,54,,71,82
107,1,2,1,,23,39,,,60,,89
107,1,3,,16,27,,44,,61,77,
107,2,1,,17,,32,,53,,70,83
107,2,2,4,,21,,46,,64,76,
107,2,3,9,19,,36,,59,68,,
107,3,1,,14,,31,,52,,75,86
107,3,2,,18,20,,47,,63,,88
107,3,3,8,,,37,,58,,79,90
107,4,1,2,,22,30,,50,,72,
107,4,2,,11,29,,45,55,,,81
107,4,3,,15,,38,49,,69,,84
107,5,1,3,,24,,41,,65,,80
107,5,2,7,,26,,42,56,,73,
107,5,3,,12,,33,43,,66,,85
107,6,1,5,,25,,40,,62,74,
107,6,2,,13,,34,,51,67,,87
107,6,3,6,,28,,48,57,,78,
108,1,1,,19,,30,,52,62,,81
108,1,2,,,22,35,,54,63,,89
108,1,3,1,,27,,43,,68,72,
108,2,1,,10,23,,40,55,,,90
108,2,2,2,11,,31,48,,,71,
108,2,3,6,18,,33,49,,64,,
108,3,1,7,,24,,41,56,,70,
108,3,2,9,,,34,42,,65,,85
108,3,3,,14,,37,,58,,79,88
108,4,1,3,,26,,44,,60,73,
108,4,2,,15,29,,47,,67,78,
108,4,3,,17,,36,,59,69,,82
108,5,1,4,,21,,45,,66,,80
108,5,2,,13,,32,,51,,74,83
108,5,3,8,,28,39,,57,,76,
108,6,1,,12,,38,,50,61,,84
108,6,2,5,,20,,,53,,75,86
108,6,3,,16,25,,46,,,77,87
109,1,1,,13,,32,,51,62,,81
109,1,2,1,,20,35,,55,,76,
109,1,3,,17,24,,44,,69,,90
109,2,1,2,,23,,41,,64,,83
109,2,2,,11,28,,48,,66,75,
109,2,3,,19,,34,,59,,79,88
109,3,1,,14,,30,,54,65,,85
109,3,2,5,,27,38,,57,,70,
109,3,3,7,,29,,47,58,,74,
109,4,1,3,,21,,40,,61,,82
109,4,2,9,,25,,43,,63,71,
109,4,3,,10,,31,,52,68,,89
109,5,1,,12,,33,42,50,,72,
109,5,2,4,,22,,45,,67,,84
109,5,3,,16,,37,49,,,78,86
109,6,1,,15,,36,,53,60,73,
109,6,2,6,18,,39,,,,77,80
109,6,3,8,,26,,46,56,,,87
110,1,1,,10,23,,40,,61,,83
110,1,2,2,14,,34,,53,,73,
110,1,3,8,,28,,46,,68,75,
110,2,1,1,,26,30,,51,63,,
110,2,2,7,,29,,41,54,,74,
110,2,3,,19,,33,,58,,77,80
110,3,1,6,,25,,45,,69,,81
110,3,2,,11,,32,,50,,70,82
110,3,3,,15,,36,49,57,,,90
110,4,1,3,,20,35,,52,,72,
110,4,2,9,,24,,42,,60,,84
110,4,3,,13,,37,,59,62,76,
110,5,1,,12,,39,,55,64,,85
110,5,2,4,,21,,43,,65,,87
110,5,3,,17,,,47,,67,78,89
110,6,1,,16,22,31,,56,,71,
110,6,2,,18,,38,44,,66,,86
110,6,3,5,,27,,48,,,79,88
111,1,1,3,,20,,41,,62,,83
111,1,2,,14,,32,,54,67,75,
111,1,3,7,,28,,48,57,,77,
111,2,1,4,,22,30,,55,,72,
111,2,2,8,,29,,42,56,,76,
111,2,3,,18,,39,47,,63,,84
111,3,1,,10,,31,,50,64,,85
111,3,2,6,,23,,43,,66,71,
111,3,3,,17,,38,,59,,78,89
111,4,1,,12,,33,40,,61,,80
111,4,2,,19,21,36,,53,,74,
111,4,3,2,,27,,49,,68,,86
111,5,1,,13,,34,,52,60,,81
111,5,2,,15,,37,,58,,73,87
111,5,3,1,,25,,45,,69,,90
111,6,1,,11,24,,44,,65,,82
111,6,2,5,16,,35,,51,,70,
111,6,3,9,,26,,46,,,79,88
112,1,1,,12,,32,,51,,72,82
112,1,2,1,,22,,40,,62,74,
112,1,3,7,,29,,45,58,,75,
112,2,1,,13,,33,,50,,71,84
112,2,2,2,,21,,41,,60,,86
112,2,3,8,17,27,,,57,,,90
112,3,1,,16,,34,,54,61,,80
112,3,2,3,,20,,44,,66,76,
112,3,3,,19,,35,49,,69,,88
112,4,1,4,,23,,42,,63,73,
112,4,2,,11,,30,46,,67,,81
112,4,3,,14,26,37,,52,,79,
112,5,1,5,,24,36,,53,,,83
112,5,2,9,,28,,47,,64,,87
112,5,3,,15,,39,,56,,78,89
112,6,1,6,,25,,43,55,,70,
112,6,2,,10,,31,48,,65,77,
112,6,3,,18,,38,,59,68,,85
113,1,1,,10,20,,43,,61,,83
113,1,2,4,16,,34,,52,,74,
113,1,3,9,19,,,49,54,,78,
113,2,1,,,22,30,44,,60,,84
113,2,2,1,,27,,48,,65,,86
113,2,3,,15,,35,,57,,79,90
113,3,1,5,,21,,45,,66,,80
113,3,2,,,26,33,,53,,70,85
113,3,3,,14,,37,,56,,75,87
113,4,1,,11,23,,40,50,,73,
113,4,2,2,17,,31,47,,62,,
113,4,3,8,,29,36,,55,,,81
113,5,1,3,,24,,41,,63,72,
113,5,2,7,,28,,46,,64,76,
113,5,3,,12,,39,,59,69,,89
113,6,1,,13,,32,,51,67,,82
113,6,2,6,,25,,42,,,71,88
113,6,3,,18,,38,,58,68,77,
114,1,1,,10,,30,,51,,73,81
114,1,2,2,,21,35,,58,,76,
114,1,3,9,,28,,44,,62,,89
114,2,1,1,13,,36,,52,,75,
114,2,2,7,,22,,40,,61,,82
114,2,3,,16,29,,45,,65,,90
114,3,1,,14,,34,,54,60,,83
114,3,2,6,,24,,47,,64,,84
114,3,3,,18,,39,,57,,79,88
114,4,1,3,,20,,41,,63,,85
114,4,2,8,,27,,42,55,,72,
114,4,3,,11,,31,49,,67,77,
114,5,1,,12,,32,,50,,71,80
114,5,2,4,,23,,43,,69,,86
114,5,3,,19,26,37,48,,,74,
114,6,1,,15,,33,,53,,70,87
114,6,2,5,,25,,46,56,66,,
114,6,3,,17,,38,,59,68,78,
115,1,1,,10,,31,44,,63,,81
115,1,2,2,,23,36,,54,,72,
115,1,3,,15,27,,47,,66,,84
115,2,1,1,,20,33,,50,,74,
115,2,2,9,,26,,46,59,,77,
115,2,3,,17,28,,49,,65,,82
115,3,1,,13,,35,,53,67,,86
115,3,2,6,,25,,40,,,79,88
115,3,3,,18,,38,,57,69,,90
115,4,1,,11,22,,43,,61,,80
115,4,2,3,16,,30,,55,,71,
115,4,3,8,,29,37,,58,,75,
115,5,1,,12,,32,,51,,70,83
115,5,2,4,,21,,42,,62,76,
115,5,3,5,,,39,45,,68,,85
115,6,1,,14,,34,,52,60,,87
115,6,2,,19,,,41,56,,73,89
115,6,3,7,,24,,48,,64,78,
116,1,1,,12,,34,40,,65,,83
116,1,2,1,,23,39,,51,,72,
116,1,3,,16,28,,47,,67,78,
116,2,1,,10,,35,,50,61,,86
116,2,2,3,,24,,41,58,,73,
116,2,3,,14,,38,45,,64,,89
116,3,1,,17,,30,,54,63,,85
116,3,2,5,,26,,44,59,,76,
116,3,3,7,,29,,48,,68,,88
116,4,1,6,,22,,42,,62,,82
116,4,2,,11,,33,,52,,70,87
116,4,3,,15,,36,,56,,77,90
116,5,1,2,,21,,43,,60,74,
116,5,2,9,,25,,49,,66,,81
116,5,3,,18,,32,,53,,79,84
116,6,1,4,13,,31,,55,,71,
116,6,2,8,,20,37,,57,,75,
116,6,3,,19,27,,46,,69,,80
117,1,1,,13,,31,,51,,73,80
117,1,2,6,,20,,43,58,,76,
117,1,3,7,,,33,47,,62,,85
117,2,1,2,,23,,41,,65,,83
